run_number, turns, k_count, g_count
0, 4, 4, 0
1, 3, 3, 0
2, 4, 4, 1
3, 5, 4, 0
4, 4, 4, 1
5, 4, 4, 1
6, 5, 5, 1
7, 1, 0, 1
8, 5, 5, 1
9, 4, 4, 0
10, 4, 4, 0
11, 4, 4, 0
12, 5, 4, 0
13, 4, 4, 0
14, 4, 4, 0
15, 4, 4, 0
16, 5, 5, 1
17, 4, 4, 0
18, 4, 4, 0
19, 6, 4, 0
20, 4, 4, 1
21, 4, 4, 0
22, 4, 4, 0
23, 4, 4, 0
24, 4, 4, 1
25, 5, 5, 1
26, 5, 5, 1
27, 5, 5, 2
28, 4, 4, 0
29, 4, 4, 0
30, 4, 4, 0
31, 5, 4, 0
32, 4, 4, 0
33, 4, 3, 0
34, 4, 4, 0
35, 4, 4, 0
36, 4, 4, 0
37, 3, 1, 2
38, 1, 0, 1
39, 1, 0, 1
40, 1, 0, 1
41, 4, 4, 0
42, 4, 4, 0
43, 1, 0, 1
44, 4, 4, 0
45, 4, 4, 0
46, 4, 4, 0
47, 3, 3, 0
48, 4, 4, 0
49, 4, 4, 1
50, 5, 4, 0
51, 5, 5, 1
52, 1, 0, 1
53, 5, 5, 1
54, 5, 4, 1
55, 4, 4, 0
56, 4, 4, 0
57, 4, 4, 0
58, 4, 4, 0
59, 6, 5, 2
60, 4, 4, 1
61, 3, 3, 0
62, 1, 0, 1
63, 4, 4, 0
64, 4, 3, 0
65, 4, 4, 1
66, 4, 4, 0
67, 4, 4, 0
68, 4, 4, 0
69, 3, 3, 0
70, 4, 4, 1
71, 4, 4, 0
72, 4, 4, 0
73, 4, 4, 0
74, 4, 4, 0
75, 5, 5, 0
76, 4, 4, 1
77, 5, 5, 0
78, 1, 0, 1
79, 4, 4, 1
80, 3, 3, 0
81, 4, 4, 1
82, 4, 4, 0
83, 4, 4, 0
84, 3, 3, 0
85, 3, 3, 0
86, 5, 5, 1
87, 4, 4, 1
88, 5, 5, 1
89, 4, 4, 0
90, 4, 4, 1
91, 3, 3, 0
92, 4, 4, 0
93, 1, 0, 1
94, 5, 4, 0
95, 4, 4, 1
96, 1, 0, 1
97, 5, 4, 0
98, 4, 4, 1
