run_number, turns, k_count, g_count
0, 4, 4, 1
1, 4, 4, 1
2, 4, 4, 1
3, 4, 4, 0
4, 4, 4, 0
5, 4, 4, 0
6, 4, 4, 0
7, 4, 3, 0
8, 5, 4, 0
9, 4, 4, 1
10, 5, 4, 0
11, 5, 5, 0
12, 5, 3, 0
13, 5, 4, 0
14, 4, 4, 0
15, 4, 4, 0
16, 4, 4, 1
17, 3, 3, 0
18, 4, 4, 0
19, 4, 4, 0
20, 4, 4, 0
21, 4, 4, 0
22, 4, 4, 1
23, 4, 4, 0
24, 5, 5, 1
25, 4, 4, 0
26, 4, 4, 0
27, 5, 4, 1
28, 4, 4, 1
29, 5, 4, 1
30, 4, 4, 1
31, 2, 0, 1
32, 3, 3, 0
33, 4, 4, 0
34, 5, 5, 1
35, 4, 4, 1
36, 1, 0, 1
37, 5, 4, 0
38, 5, 4, 1
39, 5, 4, 1
40, 4, 4, 1
41, 1, 0, 1
42, 4, 4, 2
43, 4, 4, 0
44, 3, 3, 0
45, 4, 4, 0
46, 4, 4, 1
47, 4, 4, 2
48, 1, 0, 1
49, 4, 4, 1
50, 4, 4, 1
51, 4, 4, 0
52, 4, 4, 0
53, 4, 4, 0
54, 4, 4, 0
55, 4, 4, 1
56, 5, 4, 0
57, 1, 0, 1
58, 1, 0, 1
59, 4, 4, 0
60, 5, 5, 0
61, 4, 4, 1
62, 4, 4, 0
63, 1, 0, 1
64, 4, 4, 0
65, 4, 4, 0
66, 1, 0, 1
67, 5, 5, 1
68, 4, 4, 0
69, 4, 4, 0
70, 4, 4, 0
71, 2, 0, 1
72, 5, 4, 0
73, 5, 4, 0
74, 4, 4, 0
75, 4, 4, 0
76, 4, 4, 0
77, 4, 4, 1
78, 1, 0, 1
79, 4, 4, 0
80, 4, 4, 0
81, 3, 3, 0
82, 1, 0, 1
83, 3, 3, 0
84, 4, 4, 0
85, 4, 4, 0
86, 4, 4, 0
87, 1, 0, 1
88, 4, 4, 0
89, 6, 4, 0
90, 3, 3, 0
91, 4, 4, 1
92, 4, 4, 0
93, 5, 4, 0
94, 4, 4, 1
95, 4, 4, 0
96, 4, 4, 0
97, 4, 4, 0
98, 4, 4, 0
99, 4, 4, 0
100, 4, 4, 0
101, 4, 4, 0
102, 4, 4, 1
103, 4, 4, 0
104, 3, 3, 0
105, 4, 3, 0
