run_number, turns, k_count, g_count
0, 4, 4, 0
1, 4, 4, 0
2, 4, 4, 0
3, 4, 4, 0
4, 4, 4, 0
5, 4, 4, 2
6, 2, 0, 1
7, 5, 5, 0
8, 3, 3, 0
9, 4, 4, 1
10, 4, 4, 0
11, 4, 4, 0
12, 3, 3, 1
13, 4, 4, 0
14, 4, 4, 0
15, 4, 4, 0
16, 4, 4, 0
17, 7, 4, 1
18, 4, 4, 1
19, 5, 4, 0
20, 4, 4, 0
21, 4, 4, 0
22, 4, 4, 1
23, 4, 4, 1
24, 4, 4, 0
25, 6, 5, 1
26, 4, 4, 0
27, 4, 3, 0
28, 4, 4, 0
29, 4, 4, 1
30, 2, 0, 1
31, 3, 3, 0
32, 4, 4, 0
33, 4, 4, 0
34, 4, 4, 0
35, 5, 4, 1
36, 4, 4, 0
37, 3, 3, 0
38, 4, 4, 0
39, 5, 5, 0
40, 4, 4, 0
41, 4, 4, 1
42, 4, 4, 0
43, 3, 3, 1
44, 5, 4, 1
45, 4, 4, 1
46, 4, 4, 0
47, 4, 4, 0
48, 4, 4, 0
49, 4, 4, 0
50, 4, 4, 0
51, 4, 4, 1
52, 5, 5, 1
53, 4, 4, 0
54, 4, 4, 0
55, 4, 4, 0
56, 4, 4, 0
57, 1, 0, 1
58, 5, 4, 1
59, 5, 4, 0
60, 4, 4, 1
61, 5, 5, 1
62, 5, 4, 0
63, 1, 0, 1
64, 4, 4, 0
65, 5, 5, 0
66, 1, 0, 1
67, 3, 3, 0
68, 4, 4, 1
69, 4, 4, 1
70, 3, 3, 1
71, 4, 4, 0
72, 4, 4, 1
73, 4, 0, 1
74, 4, 4, 1
75, 5, 5, 1
76, 6, 4, 1
77, 5, 4, 1
78, 4, 4, 1
79, 4, 4, 0
80, 4, 4, 0
81, 4, 4, 0
82, 4, 4, 0
83, 4, 4, 0
84, 4, 4, 0
85, 5, 5, 0
86, 3, 3, 0
87, 4, 4, 1
88, 4, 4, 0
89, 4, 4, 0
90, 4, 4, 0
91, 3, 3, 1
92, 4, 4, 1
93, 4, 4, 0
94, 3, 3, 0
95, 4, 4, 1
96, 5, 4, 0
97, 5, 5, 0
98, 3, 3, 1
99, 4, 4, 1
100, 4, 4, 0
101, 4, 4, 0
102, 1, 0, 1
103, 5, 5, 1
104, 4, 4, 0
105, 4, 4, 2
106, 4, 4, 0
107, 4, 4, 0
108, 4, 4, 1
109, 4, 4, 0
110, 1, 0, 1
111, 3, 3, 0
112, 4, 4, 1
113, 4, 4, 0
114, 1, 0, 1
115, 1, 0, 1
116, 3, 3, 0
117, 4, 4, 0
118, 5, 5, 0
119, 3, 3, 0
120, 4, 4, 0
121, 4, 4, 0
122, 4, 4, 0
123, 3, 3, 0
124, 4, 4, 0
125, 4, 4, 0
126, 4, 4, 1
127, 4, 4, 0
128, 6, 4, 0
